clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FF,FS,FT,I,PE,RB,SG,CV,FD,A,G,DD,GS,PP,DP,GC,ano
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,38,5.7,2.19,19,6.43,1.09,5.34,3,21,10,10,1,1,28,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,38,0,1.91,28,3.97,0,3.97,6,20,3,28,NA,NA,50,32,6,1,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,3,Suspenso,4,mei,Cícero,37688,38,0,2.57,32,10.58,0,10.58,9,28,11,58,NA,4,52,36,NA,NA,9,1,3,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,38,0,2.93,18,5.48,0,5.48,2,32,5,31,NA,2,23,19,NA,1,4,5,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,38,0,4.41,7,4.9,0,4.9,1,NA,NA,1,NA,NA,3,NA,2,NA,NA,NA,NA,15,10,NA,NA,NA,2019
341,CSA,5,Contundido,5,ata,Alecsandro,37673,38,0,1.13,20,4.54,0,4.54,1,20,11,11,NA,7,19,7,NA,NA,6,NA,2,NA,NA,1,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Jonathan,37662,38,0,4.47,7,6.24,0,6.24,2,5,NA,4,NA,NA,8,6,4,NA,1,NA,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,38,3.7,3.29,33,8.38,0.26,8.120000000000001,5,47,16,70,NA,1,55,71,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Léo Moura,37701,38,0,2.48,19,6.45,0,6.45,1,8,2,14,NA,1,41,15,6,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,38,-0.8,2.84,20,6.51,-0.14,6.6499999999999995,7,14,17,11,NA,1,24,10,NA,NA,17,3,2,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,38,6.26,3.73,36,10.17,0.59,9.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,38,22.2,3.34,22,7.86,2.89,4.970000000000001,4,53,22,26,NA,7,31,8,NA,1,5,1,9,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,38,2,3.43,35,10.35,0.42,9.93,2,NA,NA,5,NA,NA,13,NA,12,NA,NA,NA,NA,44,40,NA,2,NA,2019
275,Palmeiras,2,Dúvida,3,zag,Edu Dracena,37657,38,0,3.7,5,5.61,0,5.61,1,4,4,3,NA,NA,3,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,38,0,4.5,2,6.94,0,6.94,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,38,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Thiago Neves,38277,38,0,4.34,28,8.83,0,8.83,8,22,36,32,1,2,66,16,NA,NA,24,5,6,NA,NA,1,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,38,1.9,3.39,21,9.31,-1.17,10.48,9,18,4,20,NA,2,26,26,7,1,3,1,2,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,38,0,1.56,30,5.66,0,5.66,11,48,16,41,1,14,57,5,NA,NA,15,3,5,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,2,lat,Rafinha,38144,38,0,4.09,19,10.18,0,10.18,7,27,1,16,NA,1,33,22,9,NA,3,5,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,3,Suspenso,2,lat,Edílson,38523,38,0,2.27,13,4.56,0,4.56,3,18,5,11,2,NA,27,18,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Diego Tardelli,38231,38,0,1.83,29,7.86,0,7.86,2,25,7,25,NA,6,61,17,NA,1,16,1,4,NA,NA,1,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Maicon,38196,38,0,2.9,15,8.09,0,8.09,6,17,4,13,NA,NA,41,16,NA,NA,3,3,3,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Fábio Santos,38229,38,0,2.75,29,10.45,0,10.45,6,30,3,21,2,2,46,21,6,NA,4,1,4,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,38,0.6,2.63,35,8.44,-0.29,8.729999999999999,4,35,8,50,NA,NA,43,65,NA,1,5,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,38,0.5,4.69,31,11.04,-0.65,11.69,7,56,23,44,2,15,41,15,NA,NA,16,3,13,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,38,0.4,0.17,17,2.79,-0.58,3.37,3,8,9,3,1,NA,25,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Adriano,38336,38,0,3.18,10,9.44,0,9.44,3,11,1,4,NA,NA,20,9,4,NA,NA,1,1,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,38,1.5,5.52,9,5.64,-0.52,6.16,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,24,11,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Elicarlos,50313,38,-2.3,0.88,19,3.71,-1.3,5.01,6,25,10,22,NA,NA,28,18,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,David Braz,50317,38,0,5.45,18,9.67,0,9.67,NA,15,13,2,NA,NA,19,26,6,NA,4,2,2,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,38,3.5,2.84,16,2.49,-0.39,2.8800000000000003,6,25,5,15,NA,NA,21,15,7,NA,6,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,38,0,-0.52,8,2.04,0,2.04,3,6,3,3,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,38,-5.3,4.63,31,7.19,-1.22,8.41,NA,NA,NA,4,NA,NA,19,2,13,NA,NA,NA,NA,39,26,NA,2,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,38,0,1.68,16,7.34,0,7.34,3,32,3,22,NA,7,31,18,NA,NA,3,2,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Carlinhos,38451,38,0,4.11,26,7.16,0,7.16,2,22,11,24,NA,2,59,41,8,NA,6,NA,2,NA,NA,NA,NA,1,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,38,0,0.87,7,3.99,0,3.99,NA,10,1,3,NA,1,7,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,38,0,2.06,16,8.73,0,8.73,3,26,1,10,NA,1,18,23,NA,NA,4,1,1,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,38,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,38,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,38,-0.9,3.2,25,7.9,-1.71,9.61,3,29,7,26,NA,NA,67,33,8,NA,2,2,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Léo,50459,38,1.5,1.78,18,6.09,-0.42,6.51,1,21,1,6,NA,NA,18,20,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,38,0,7.22,6,8.36,0,8.36,NA,NA,NA,1,NA,NA,4,NA,2,NA,NA,NA,NA,13,6,NA,1,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,38,0,0.98,12,4.09,0,4.09,NA,5,3,3,NA,NA,24,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
