clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,value,ano
262,Flamengo,6,Nulo,1,gol,César,78086,21,0,4.62,4,6.1,0,6.1,NA,2019
293,Athlético-PR,7,Provável,2,lat,Madson,78077,21,0,4.17,13,5.79,-0.97,6.76,NA,2019
267,Vasco,6,Nulo,5,ata,Marrony,101717,21,0,2.71,18,11.3,0,11.3,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Bruninho,101716,21,0,4.38,5,2.77,0,2.77,NA,2019
267,Vasco,6,Nulo,3,zag,Miranda,101720,21,0,0.7,1,2.57,0,2.57,NA,2019
267,Vasco,6,Nulo,2,lat,Rafael França,101719,21,0,0,0,2,0,2,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Alerrandro,101715,21,0,5.59,9,6.27,0,6.27,NA,2019
284,Grêmio,7,Provável,3,zag,Paulo Miranda,68817,21,0,2.8,7,5.85,0,5.85,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,21,0,3.43,19,9.44,0.12,9.32,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,21,0,5.63,16,13.3,1.07,12.23,NA,2019
315,Chapecoense,5,Contundido,5,ata,Henrique Almeida,68773,21,0,2.57,4,3.78,0,3.78,NA,2019
267,Vasco,6,Nulo,4,mei,Richard,86711,21,0,1.56,13,3.67,0,3.67,NA,2019
284,Grêmio,6,Nulo,2,lat,Rafael Galhardo,68821,21,0,5.9,9,4.68,-0.6,5.279999999999999,NA,2019
284,Grêmio,6,Nulo,1,gol,Paulo Victor,68873,21,0,4.19,14,5.91,-1.18,7.09,NA,2019
266,Fluminense,3,Suspenso,3,zag,Digão,68886,21,0,1.1,9,4.27,-0.89,5.159999999999999,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,21,0,3.18,8,5.28,0,5.28,NA,2019
267,Vasco,6,Nulo,1,gol,João Pedro Borges,101721,21,0,0,0,1,0,1,NA,2019
315,Chapecoense,7,Provável,3,zag,Gum,68887,21,0,1.92,19,6.62,0,6.62,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,21,0,4.39,18,10.13,-1.92,12.05,NA,2019
276,São Paulo,6,Nulo,5,ata,Fabinho,101729,21,0,-0.5,1,0.77,0,0.77,NA,2019
276,São Paulo,6,Nulo,3,zag,Diego,101728,21,0,0,0,1,0,1,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,21,0,3.1,11,6.11,0,6.11,NA,2019
293,Athlético-PR,7,Provável,3,zag,Lucas Halter,102253,21,0,1.37,8,2.67,0.3,2.37,NA,2019
276,São Paulo,3,Suspenso,5,ata,Gonzalo Carneiro,101796,21,0,0,0,5,0,5,NA,2019
277,Santos,7,Provável,2,lat,Victor Ferraz,70046,21,0,4.08,18,9.73,-0.32,10.05,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,21,0,0,0,5,0,5,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,21,0,0.65,16,1.64,-0.28,1.92,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,21,0,0,0,1,0,1,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,21,0,0,0,2,0,2,NA,2019
264,Corinthians,6,Nulo,2,lat,Carlos Augusto,101803,21,0,2.84,8,5.25,0,5.25,NA,2019
315,Chapecoense,6,Nulo,4,mei,Gabriel Calabres,101911,21,0,0,0,2,0,2,NA,2019
276,São Paulo,5,Contundido,5,ata,Toró,101885,21,0,2.18,15,4.99,-0.62,5.61,NA,2019
290,Goiás,6,Nulo,4,mei,Rafinha,84381,21,0,1.52,4,2.7,-0.78,3.4800000000000004,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Braian Romero,101997,21,0,3.61,10,4.54,0,4.54,NA,2019
314,Avaí,6,Nulo,2,lat,Iury,101846,21,0,2.8,9,5.91,-0.63,6.54,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Vitinho,101960,21,0,3.07,9,2.63,0,2.63,NA,2019
267,Vasco,6,Nulo,5,ata,Jairinho,102139,21,0,1.77,4,2.89,0,2.89,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,21,0,3.28,11,10,0,10,NA,2019
314,Avaí,7,Provável,5,ata,Caio Paulista,102318,21,0,3.27,15,4.64,0.09,4.55,NA,2019
293,Athlético-PR,5,Contundido,4,mei,Bruno Leite,102301,21,0,0,0,2,0,2,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,21,0,2.73,3,3.99,0,3.99,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vitor Eudes,102137,21,0,0,0,2,0,2,NA,2019
290,Goiás,5,Contundido,5,ata,Papagaio,102302,21,0,0.98,5,1.97,0,1.97,NA,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,21,0,0.88,11,3.37,0,3.37,NA,2019
282,Atlético-MG,3,Suspenso,3,zag,Leonardo Silva,68925,21,0,0.79,8,3.54,0,3.54,NA,2019
263,Botafogo,7,Provável,5,ata,Diego Souza,68911,21,0,3,19,6.07,-0.13,6.2,NA,2019
