clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,PP,RB,A,FT,DD,GS,SG,CV,DP,GC,ano
341,CSA,7,Provável,5,ata,Alecsandro,37673,19,1.8,0.46,9,4.02,0.23,3.7899999999999996,1,14,4,7,5,1,4,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,19,0.5,3.29,14,13.34,-0.15,13.49,NA,14,9,9,14,2,2,11,1,5,2,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Everton,50301,19,0.4,1.38,14,6.89,-0.41,7.3,3,31,3,2,18,1,7,29,NA,14,2,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,19,0,-2.3,1,3.31,0,3.31,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Léo Moura,37701,19,0,3,7,5.69,0,5.69,NA,2,NA,1,7,NA,NA,21,NA,6,1,NA,NA,NA,2,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,19,7.2,2.29,16,4.82,1.78,3.04,4,13,NA,2,16,NA,NA,32,NA,24,NA,NA,NA,NA,4,1,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,19,-0.3,3.8,17,11.93,-0.06,11.99,4,10,2,8,38,3,2,32,NA,21,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,19,4.91,3.32,15,9.66,0.23,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,19,4.14,3.13,17,8.92,0.2,8.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,19,3.2,3.27,15,7.86,0.49,7.37,2,20,2,9,20,NA,1,19,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,2019
