clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,DD,DP,FS,GS,PE,SG,CV,FC,FD,FF,RB,A,G,I,FT,PP,GC,ano
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,36,-2,3.61,33,10.04,-0.42,10.459999999999999,2,41,2,5,36,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,3,zag,Betão,37646,36,0,1.91,28,3.97,0,3.97,6,NA,NA,28,NA,50,6,1,20,1,3,32,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Evandro,37614,36,14,2.94,17,7.26,2.55,4.71,2,NA,NA,27,NA,23,NA,1,32,4,4,19,5,1,2,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,36,3.1,2.46,27,6.86,0.47,6.390000000000001,2,NA,NA,24,NA,53,NA,NA,34,13,20,21,4,1,5,1,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,36,10.4,2.24,20,5.52,0.78,4.739999999999999,4,NA,NA,25,NA,27,NA,1,47,4,18,8,NA,6,5,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,36,0.6,2.7,31,11.21,-0.06,11.270000000000001,8,NA,NA,58,NA,49,NA,NA,26,9,10,35,1,3,4,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,36,0,4.7,4,6.97,0,6.97,NA,NA,NA,2,NA,1,2,NA,3,1,3,4,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,6,tec,Ney Franco,37246,36,4.44,3.69,34,10.01,0.24,9.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,5,ata,Alecsandro,37673,36,0,1.13,20,4.54,0,4.54,1,NA,NA,11,NA,19,NA,NA,20,6,11,7,NA,2,7,NA,1,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Jonathan,37662,36,0,4.43,6,6.27,0,6.27,2,NA,NA,4,NA,7,3,NA,5,1,NA,6,NA,1,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,36,7.2,2.48,19,6.45,1.11,5.34,1,NA,NA,14,NA,41,6,NA,8,NA,2,15,1,NA,1,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,36,3.4,3.32,31,8.47,-0.7,9.17,5,NA,NA,65,NA,51,NA,NA,47,4,16,68,NA,NA,1,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,36,0,3.22,18,6.62,0,6.62,6,NA,NA,10,NA,23,NA,NA,14,16,17,10,3,2,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Thiago Neves,38277,36,0,4.34,28,8.83,0,8.83,8,NA,NA,32,NA,66,NA,NA,22,24,36,16,5,6,2,1,1,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,36,0,4.41,7,4.9,0,4.9,1,15,NA,1,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,36,4.2,2.7,33,9.21,0.73,8.48,4,NA,NA,49,NA,40,NA,1,33,4,8,63,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,36,0,-1,1,2.08,0,2.08,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,36,0,4.5,2,6.94,0,6.94,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,36,-2.1,3.94,18,8.91,-1.26,10.17,7,NA,NA,15,NA,32,9,NA,27,3,1,21,4,NA,1,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Fred,38162,36,-2.9,1.54,29,5,-0.6,5.6,11,NA,NA,38,NA,56,NA,NA,48,15,15,5,3,5,14,1,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,36,4.8,2.9,15,8.09,0.6,7.49,6,NA,NA,13,NA,41,NA,NA,17,3,4,16,3,3,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Diego Tardelli,38231,36,0,1.84,28,7.04,0,7.04,2,NA,NA,22,NA,61,NA,1,25,16,7,17,1,4,6,NA,1,NA,2019
282,Atlético-MG,3,Suspenso,2,lat,Fábio Santos,38229,36,7,2.75,29,10.45,0.84,9.61,6,NA,NA,21,NA,46,6,NA,30,4,3,21,1,4,2,2,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,36,0,0.16,16,3.37,0,3.37,3,NA,NA,3,NA,23,NA,NA,6,1,8,1,1,NA,NA,1,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,36,0,6.02,8,6.16,0,6.16,NA,23,NA,NA,10,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,36,0,2.69,12,6.12,0,6.12,2,NA,NA,10,NA,26,4,2,16,NA,5,18,NA,NA,NA,2,NA,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Adriano,38336,36,0,3.04,9,9.72,0,9.72,3,NA,NA,3,NA,18,3,NA,10,NA,1,9,1,1,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Wellington Paulista,38279,36,0.3,4.85,29,11.26,-0.37,11.629999999999999,7,NA,NA,39,NA,40,NA,NA,52,16,21,12,3,13,12,2,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,36,0.4,4.96,30,8.41,0.44,7.97,NA,38,2,4,22,18,13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,36,2.5,2.17,17,6.03,0.3,5.73,2,NA,NA,10,NA,26,2,NA,18,NA,9,22,NA,NA,1,1,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,36,4,2.54,14,2.44,-0.47,2.91,6,NA,NA,15,NA,19,5,NA,20,6,5,13,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Felipe Melo,38545,36,1.3,2.66,19,6.61,-0.43,7.04,7,NA,NA,26,NA,41,NA,1,34,4,15,27,1,3,1,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Carlinhos,38451,36,0,4.11,26,7.16,0,7.16,2,NA,NA,24,NA,59,8,NA,22,6,11,41,NA,2,2,NA,NA,1,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,36,8,3.46,20,10.48,0.58,9.9,9,NA,NA,20,NA,24,7,1,17,3,4,24,1,2,2,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,36,0,2.63,20,12.31,0,12.31,NA,NA,NA,17,NA,11,NA,NA,15,9,14,6,2,2,2,1,1,NA,2019
341,CSA,7,Provável,4,mei,Nilton,38573,36,14,1.59,11,4.95,2.32,2.6300000000000003,3,NA,NA,8,NA,13,NA,NA,11,1,4,11,NA,1,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,36,-0.5,5.42,14,12.28,-1.27,13.549999999999999,NA,NA,NA,10,NA,36,6,NA,25,1,NA,42,NA,NA,NA,NA,NA,NA,2019
